Date,HomeTeam,AwayTeam,FTHG,FTAG
2023-04-01,Malmo FF,Kalmar,1,0
2023-04-01,Djurgarden,Brommapojkarna,3,1
2023-04-02,Hammarby,Degerfors,3,1
2023-04-02,Norrkoping,Sirius,1,1
2023-04-02,Goteborg,Varnamo,0,1
2023-04-02,Halmstad,AIK,2,1
2023-04-03,Mjallby,Varberg,2,2
2023-04-03,Elfsborg,Hacken,0,2
2023-04-08,Brommapojkarna,Malmo FF,1,2
2023-04-08,Degerfors,Halmstad,3,1
2023-04-09,Hacken,Hammarby,3,1
2023-04-09,Kalmar,Goteborg,2,0
2023-04-09,Sirius,Djurgarden,0,0
2023-04-10,Varnamo,Mjallby,0,1
2023-04-10,AIK,Norrkoping,0,3
2023-04-10,Varberg,Elfsborg,0,0
2023-04-15,Elfsborg,Brommapojkarna,5,0
2023-04-15,Hacken,Kalmar,1,3
2023-04-16,AIK,Hammarby,2,0
2023-04-16,Norrkoping,Varnamo,2,1
2023-04-16,Halmstad,Djurgarden,2,0
2023-04-16,Mjallby,Degerfors,2,0
2023-04-17,Varberg,Sirius,1,1
2023-04-17,Goteborg,Malmo FF,0,1
2023-04-22,Hammarby,Varberg,2,0
2023-04-22,Degerfors,Elfsborg,1,2
2023-04-23,Djurgarden,Goteborg,1,0
2023-04-23,Kalmar,Halmstad,2,0
2023-04-23,Sirius,Hacken,1,4
2023-04-24,Brommapojkarna,Mjallby,2,0
2023-04-24,Varnamo,AIK,1,0
2023-04-24,Malmo FF,Norrkoping,3,0
2023-04-29,AIK,Sirius,0,0
2023-04-29,Mjallby,Elfsborg,0,1
2023-04-29,Hacken,Varnamo,3,1
2023-04-29,Halmstad,Brommapojkarna,0,2
2023-04-30,Malmo FF,Hammarby,4,2
2023-04-30,Varberg,Kalmar,0,0
2023-04-30,Degerfors,Djurgarden,2,1
2023-05-01,Goteborg,Norrkoping,1,1
2023-05-03,Elfsborg,Halmstad,6,1
2023-05-03,Hacken,Djurgarden,4,1
2023-05-03,Kalmar,Sirius,2,2
2023-05-03,Mjallby,AIK,0,0
2023-05-04,Goteborg,Degerfors,6,0
2023-05-04,Norrkoping,Hammarby,2,0
2023-05-04,Varberg,Malmo FF,0,6
2023-05-04,Varnamo,Brommapojkarna,0,1
2023-05-07,Malmo FF,AIK,3,1
2023-05-07,Halmstad,Hacken,1,0
2023-05-08,Brommapojkarna,Goteborg,0,0
2023-05-08,Degerfors,Norrkoping,0,2
2023-05-08,Sirius,Elfsborg,3,4
2023-05-08,Djurgarden,Kalmar,3,1
2023-05-09,Hammarby,Mjallby,0,0
2023-05-09,Varnamo,Varberg,3,1
2023-05-13,Hacken,Degerfors,6,1
2023-05-13,Varberg,Norrkoping,1,3
2023-05-14,Elfsborg,Varnamo,2,0
2023-05-14,Hammarby,Djurgarden,4,3
2023-05-14,Mjallby,Sirius,3,0
2023-05-14,Halmstad,Malmo FF,0,1
2023-05-14,Kalmar,Brommapojkarna,1,3
2023-05-15,AIK,Goteborg,2,2
2023-05-20,Degerfors,AIK,2,1
2023-05-21,Brommapojkarna,Varberg,2,1
