Round,Date,Day,Time,Home_Team,Away_Team,Status
14,2025-07-05,LÖRDAG,15:00,GAIS,Malmo FF,
14,2025-07-05,LÖRDAG,15:00,Oster,Mjallby,
14,2025-07-05,LÖRDAG,17:30,Hammarby,Varnamo,
14,2025-07-06,SÖNDAG,14:00,Goteborg,Sirius,
14,2025-07-06,SÖNDAG,14:00,Halmstad,AIK,
14,2025-07-06,SÖNDAG,16:30,Djurgarden,Degerfors,
14,2025-07-06,SÖNDAG,16:30,Elfsborg,Hacken,
14,2025-07-07,MÅNDAG,19:00,Norrkoping,Brommapojkarna,
15,2025-07-12,LÖRDAG,15:00,Goteborg,Elfsborg,
15,2025-07-12,LÖRDAG,17:30,Malmo FF,Norrkoping,
15,2025-07-13,SÖNDAG,14:00,Brommapojkarna,Oster,
15,2025-07-13,SÖNDAG,14:00,GAIS,Hammarby,
15,2025-07-13,SÖNDAG,16:30,AIK,Degerfors,
15,2025-07-13,SÖNDAG,16:30,Varnamo,Djurgarden,
15,2025-07-13,SÖNDAG,18:30,Hacken,Halmstad,
15,2025-07-14,MÅNDAG,19:00,Sirius,Mjallby,
16,2025-07-19,LÖRDAG,15:00,Djurgarden,Elfsborg,
16,2025-07-19,LÖRDAG,15:00,Oster,Malmo FF,
16,2025-07-19,LÖRDAG,17:30,Degerfors,GAIS,
16,2025-07-20,SÖNDAG,14:00,Mjallby,AIK,
16,2025-07-20,SÖNDAG,14:00,Sirius,Goteborg,
16,2025-07-20,SÖNDAG,16:30,Hammarby,Brommapojkarna,
16,2025-07-20,SÖNDAG,16:30,Halmstad,Hacken,
16,2025-07-21,MÅNDAG,19:00,Norrkoping,Varnamo,
17,2025-07-26,LÖRDAG,15:00,Brommapojkarna,Malmo FF,
17,2025-07-26,LÖRDAG,15:00,GAIS,Halmstad,
17,2025-07-26,LÖRDAG,17:30,Degerfors,Norrkoping,
17,2025-07-27,SÖNDAG,14:00,AIK,Oster,
17,2025-07-27,SÖNDAG,14:00,Hacken,Djurgarden,
17,2025-07-27,SÖNDAG,16:30,Mjallby,Sirius,
17,2025-07-27,SÖNDAG,16:30,Varnamo,Hammarby,
17,2025-07-28,MÅNDAG,19:00,Elfsborg,Goteborg,
18,2025-05-22,TORSDAG,,Hammarby,Mjallby,1-2
18,2025-05-22,TORSDAG,,Malmo FF,AIK,0-0
18,2025-08-02,LÖRDAG,15:00,Brommapojkarna,Norrkoping,
18,2025-08-02,LÖRDAG,17:30,Varnamo,GAIS,
18,2025-08-03,SÖNDAG,14:00,Djurgarden,Halmstad,
18,2025-08-03,SÖNDAG,14:00,Hacken,Elfsborg,
18,2025-08-03,SÖNDAG,16:30,Sirius,Oster,
18,2025-08-04,MÅNDAG,19:00,Goteborg,Degerfors,
19,2025-08-09,LÖRDAG,15:00,Malmo FF,Mjallby,
19,2025-08-09,LÖRDAG,17:30,Halmstad,Sirius,
19,2025-08-10,SÖNDAG,14:00,AIK,Djurgarden,
19,2025-08-10,SÖNDAG,14:00,Degerfors,Hacken,
19,2025-08-10,SÖNDAG,16:30,Oster,Brommapojkarna,
19,2025-08-10,SÖNDAG,16:30,Norrkoping,Hammarby,
19,2025-08-11,MÅNDAG,19:00,Elfsborg,Varnamo,
19,2025-08-11,MÅNDAG,19:00,GAIS,Goteborg,
20,2025-08-16,LÖRDAG,15:00,Halmstad,Malmo FF,
20,2025-08-16,LÖRDAG,17:30,Norrkoping,Elfsborg,
20,2025-08-17,SÖNDAG,14:00,Brommapojkarna,Sirius,
