Mjallby,Hammarby,AIK,Elfsborg,Malmo FF,GAIS,Goteborg,Djurgarden,Norrkoping,Hacken,Sirius,Brommapojkarna,Degerfors,Halmstad,Oster,Varnamo,platinumcars arena,bravida arena,spiris arena 1 växjö,eleda stadion,borås arena,finnvedsvallen värnamo,örjans vall,gamla ullevi,3arena,stora valla,strandvallen a-plan,nationalarenan strawberry arena,grimsta ip 1,studenternas
54,51,62,57,63,54,48,42,42,42,38,27,26,25,28,25,1,0,1,1,3,3,1,0,3,3,1,0,3,1
54,57,60,70,57,51,44,38,32,40,42,31,32,26,34,27,0,3,3,0,0,0,3,3,1,0,0,0,0,3
55,49,57,56,62,60,42,43,38,38,38,24,26,35,36,21,0,3,1,0,3,3,3,1,4,0,1,3,3,1
54,64,57,63,49,49,43,35,40,40,38,35,31,31,36,25,1,1,0,3,3,1,3,4,2,0,0,0,0,0
61,57,53,46,61,57,48,53,38,35,40,35,29,29,28,20,0,3,3,0,0,1,0,1,4,3,0,3,1,0
48,61,52,55,62,56,45,44,42,41,31,33,29,32,37,15,0,0,3,0,3,3,3,1,3,3,1,0,1,1
49,72,53,61,49,51,49,48,35,39,38,38,19,28,36,20,3,0,3,3,0,3,0,4,1,3,1,3,0,0
66,55,45,62,58,56,41,40,42,37,42,37,27,26,27,28,0,1,3,0,0,3,3,3,1,3,0,3,1,1
76,61,51,57,51,56,44,40,37,39,30,35,28,21,30,28,0,3,0,0,3,0,3,3,3,3,0,1,0,0
66,66,62,55,50,48,44,40,39,37,43,38,21,27,24,29,3,0,1,0,3,1,0,3,1,3,3,3,0,1
70,57,54,58,56,43,35,39,37,42,47,35,26,38,28,23,3,1,0,0,1,1,0,4,4,0,0,3,1,0
55,68,60,56,49,54,30,44,35,42,32,33,30,34,36,15,0,3,1,1,0,1,3,4,6,3,1,0,3,3
65,58,58,67,56,48,37,41,34,46,45,37,28,25,22,25,0,1,1,3,0,3,1,1,3,1,3,3,1,0
57,61,66,56,59,42,51,46,32,34,35,35,32,27,22,29,1,3,3,0,0,1,0,4,0,3,3,0,3,3
57,50,67,68,55,49,40,41,41,45,30,41,28,26,27,24,0,3,3,0,0,3,3,4,4,0,3,3,3,1
64,64,47,55,54,48,41,38,28,50,36,30,28,36,37,22,1,0,1,3,3,1,0,4,1,3,1,1,0,1
63,59,53,55,57,52,46,40,41,43,33,34,35,23,35,15,3,1,3,0,1,3,3,3,4,1,0,1,0,1
68,53,63,60,50,43,43,46,39,43,42,39,22,34,27,19,0,3,3,3,3,3,0,0,0,1,0,0,3,1
57,61,61,59,66,38,38,45,35,45,35,36,23,24,31,22,3,3,0,0,3,1,3,4,3,3,1,0,0,3
64,59,50,53,57,49,39,39,40,39,39,33,30,33,32,30,3,1,3,0,1,1,3,0,1,3,0,0,3,1
66,59,47,51,49,62,41,49,36,34,39,43,25,27,33,28,1,3,1,1,0,0,3,3,1,3,0,3,0,1
55,65,50,54,48,55,38,46,43,35,37,33,22,36,31,32,0,1,3,0,0,3,3,2,1,3,0,1,3,3
55,49,56,57,48,51,44,42,43,39,48,44,29,23,45,20,3,3,0,3,0,3,3,6,0,1,3,0,0,0
58,60,56,65,55,59,35,51,38,45,29,32,31,30,17,30,1,0,3,0,3,0,1,1,3,1,3,0,1,1
68,66,53,72,54,57,35,28,41,35,40,25,27,27,33,25,0,3,3,1,0,3,3,1,4,3,0,3,3,0
59,62,55,52,60,54,38,56,42,40,40,34,32,24,30,13,0,0,0,0,0,3,3,4,3,3,0,0,3,0
62,64,58,62,59,42,41,27,37,45,33,42,28,26,24,26,0,3,1,1,3,3,3,1,1,3,3,3,3,3
58,62,61,57,63,50,30,37,30,44,39,36,37,31,34,19,1,0,0,1,1,3,3,3,3,3,0,3,1,0
52,59,64,42,63,50,41,41,30,41,47,40,31,27,20,35,0,0,3,0,3,3,3,4,6,3,3,0,0,0
57,60,64,69,54,46,36,35,35,48,42,29,33,28,32,26,3,3,0,0,0,0,1,6,0,1,1,0,3,1
54,69,53,60,56,46,40,49,40,44,41,33,27,22,35,23,1,1,0,0,0,3,3,0,0,3,1,3,3,0
64,60,53,45,66,56,43,40,36,39,43,35,30,28,27,18,3,3,3,3,1,1,0,2,3,3,0,3,0,0
71,61,54,52,52,50,33,38,34,45,45,34,35,31,34,16,3,0,1,1,3,1,3,3,6,1,0,3,1,0
52,59,66,52,53,57,34,33,30,54,47,33,24,19,36,22,3,1,3,1,3,3,3,3,4,3,3,0,3,3
62,70,52,63,64,51,30,44,37,41,38,32,24,18,33,34,3,1,1,1,0,0,3,3,1,3,0,0,3,0
59,65,56,64,58,54,45,41,36,32,46,37,28,24,34,11,1,0,1,1,3,3,3,3,4,3,0,1,0,0
62,49,54,66,56,41,50,41,34,48,32,32,28,30,30,24,3,0,0,0,0,3,1,3,3,3,3,1,3,3
57,67,64,54,54,53,43,31,32,51,36,43,31,21,28,20,0,0,1,1,0,3,1,2,6,1,3,0,3,0
66,68,54,62,66,49,36,35,32,35,35,43,32,28,30,22,0,3,3,0,3,0,0,3,1,3,1,1,0,0
58,53,62,58,58,48,35,45,38,37,42,29,39,22,31,22,0,3,3,0,1,3,3,6,1,3,0,3,0,0
59,56,55,56,57,53,47,42,38,40,30,30,34,33,29,18,3,1,3,0,1,3,0,2,6,3,3,0,0,1
50,59,58,57,67,52,42,34,39,47,33,29,27,33,29,29,1,0,0,0,0,3,0,3,3,3,3,0,1,3
54,50,57,52,64,59,40,49,29,42,31,30,32,29,34,27,1,0,1,0,3,1,0,3,4,3,3,1,0,0
60,60,56,63,64,51,32,48,35,42,40,27,26,28,23,31,0,3,3,0,1,3,3,4,3,3,3,3,1,0
63,69,61,70,57,56,41,40,29,44,37,32,23,27,26,24,1,0,1,0,1,3,3,6,1,0,0,0,3,0
64,62,55,58,60,44,27,41,31,38,40,41,35,28,25,32,3,3,1,1,3,3,3,6,1,3,0,0,3,0
69,62,63,60,54,48,31,42,37,36,38,34,28,32,26,31,0,1,1,0,0,1,0,3,1,3,0,0,1,3
65,56,53,64,57,52,38,55,34,45,43,36,19,26,36,19,0,0,1,1,0,0,0,3,3,3,3,1,3,0
68,60,48,55,58,48,40,34,35,53,35,40,28,32,33,15,3,3,3,0,0,3,3,6,3,3,1,3,0,3
57,59,60,62,67,46,45,45,26,33,50,35,28,27,37,21,1,1,0,0,0,1,3,1,3,0,1,0,1,0
54,62,53,56,64,46,46,31,35,53,39,33,27,34,31,25,0,0,3,3,1,0,3,3,0,3,3,1,1,3
60,63,53,64,61,44,47,42,38,40,35,36,26,20,42,26,3,3,1,0,0,0,0,3,0,1,3,3,1,0
68,66,52,56,54,59,31,40,38,39,36,43,24,27,24,28,3,0,0,3,0,0,1,1,0,3,3,1,1,3
62,50,58,59,58,40,44,37,31,41,39,26,40,43,32,24,0,3,1,1,3,1,0,0,4,1,1,0,3,0
61,66,60,58,65,48,37,41,29,47,28,36,21,33,31,19,3,3,1,0,3,0,3,4,3,1,1,0,0,3
57,70,62,61,54,42,41,42,25,46,32,38,33,23,33,29,3,0,3,0,1,0,1,0,3,3,3,0,1,1
64,59,56,56,57,40,37,43,40,35,42,34,33,27,39,24,1,0,0,0,3,0,1,4,3,1,0,3,3,3
63,59,50,54,57,50,44,44,34,49,32,34,33,38,25,22,1,1,3,0,3,0,3,3,0,1,0,0,0,3
68,62,54,65,48,53,39,48,44,29,43,27,24,28,31,30,0,3,0,1,0,0,3,2,4,0,3,1,1,3
59,68,61,55,54,49,42,39,30,41,33,27,31,19,41,34,3,1,1,0,0,1,3,0,0,0,1,1,3,3
59,71,59,68,65,52,36,37,36,34,37,38,26,21,29,22,0,3,0,0,0,3,3,6,0,1,3,1,0,0
